Multiplication is disabled after:, 4,
Fixed shift starts with, 0.125000,

=========================================================================================
Term:, 8, Threshold:, 0.625000, Fraction Width:, 8, MRE:, 0.016163, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.000000, 0.000000, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.750000, Fraction Width:, 8, MRE:, 0.014209, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.875000, Fraction Width:, 8, MRE:, 0.010485, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 


=========================================================================================
Term:, 8, Threshold:, 0.125000, Fraction Width:, 12, MRE:, 0.000500, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.031250, -0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.250000, Fraction Width:, 12, MRE:, 0.000500, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.031250, -0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.375000, Fraction Width:, 12, MRE:, 0.000500, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.031250, -0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.500000, Fraction Width:, 12, MRE:, 0.000532, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.031250, -0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.625000, Fraction Width:, 12, MRE:, 0.000837, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.750000, Fraction Width:, 12, MRE:, 0.000589, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.875000, Fraction Width:, 12, MRE:, 0.000797, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 


=========================================================================================
Term:, 8, Threshold:, 0.125000, Fraction Width:, 16, MRE:, 0.000253, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.000000, 0.000000, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.250000, Fraction Width:, 16, MRE:, 0.000253, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.000000, 0.000000, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.375000, Fraction Width:, 16, MRE:, 0.000252, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.000000, 0.000000, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
